x_variable,y_variable,sample_size,pearson_correlation,abs_correlation,strength,direction
avg_humidity,resp_outpatient_ili_parainfluenza_positive_rate,48,-0.4501,0.4501,中等相关,负相关
wind_speed,resp_outpatient_ili_common_coronavirus_positive_rate,48,-0.4387,0.4387,中等相关,负相关
precipitation_total,resp_outpatient_ili_adenovirus_positive_rate,48,0.4027,0.4027,中等相关,正相关
avg_humidity,resp_hospital_sari_covid_positive_rate,48,0.393,0.393,弱相关,正相关
avg_humidity,resp_outpatient_ili_covid_positive_rate,48,0.3796,0.3796,弱相关,正相关
avg_temperature,resp_outpatient_ili_adenovirus_positive_rate,48,0.3729,0.3729,弱相关,正相关
precipitation_total,resp_outpatient_ili_bocavirus_positive_rate,48,0.3687,0.3687,弱相关,正相关
wind_speed,resp_outpatient_ili_influenza_positive_rate,48,0.3681,0.3681,弱相关,正相关
avg_humidity,resp_outpatient_ili_common_coronavirus_positive_rate,48,0.3666,0.3666,弱相关,正相关
avg_humidity,resp_outpatient_ili_influenza_positive_rate,48,-0.3616,0.3616,弱相关,负相关
avg_humidity,resp_hospital_sari_influenza_positive_rate,48,-0.3481,0.3481,弱相关,负相关
avg_temperature,resp_outpatient_ili_bocavirus_positive_rate,48,0.3451,0.3451,弱相关,正相关
wind_speed,resp_hospital_sari_parainfluenza_positive_rate,48,0.3449,0.3449,弱相关,正相关
wind_speed,resp_hospital_sari_influenza_positive_rate,48,0.3401,0.3401,弱相关,正相关
avg_temperature,resp_outpatient_ili_mycoplasma_positive_rate,48,0.3358,0.3358,弱相关,正相关
precipitation_total,resp_outpatient_ili_mycoplasma_positive_rate,48,0.3253,0.3253,弱相关,正相关
wind_speed,resp_hospital_sari_bocavirus_positive_rate,48,-0.3201,0.3201,弱相关,负相关
precipitation_total,influenza_ili_percent_south,111,-0.3167,0.3167,弱相关,负相关
avg_temperature,resp_outpatient_ili_common_coronavirus_positive_rate,48,0.3065,0.3065,弱相关,正相关
wind_speed,resp_hospital_sari_mycoplasma_positive_rate,48,-0.2997,0.2997,弱相关,负相关
wind_speed,resp_outpatient_ili_mycoplasma_positive_rate,48,-0.2971,0.2971,弱相关,负相关
precipitation_total,influenza_outbreak_count,88,-0.2969,0.2969,弱相关,负相关
wind_speed,resp_outpatient_ili_parainfluenza_positive_rate,48,0.2911,0.2911,弱相关,正相关
wind_speed,resp_hospital_sari_common_coronavirus_positive_rate,48,-0.2803,0.2803,弱相关,负相关
precipitation_total,resp_outpatient_ili_common_coronavirus_positive_rate,48,0.2773,0.2773,弱相关,正相关
precipitation_total,resp_hospital_sari_rhinovirus_positive_rate,48,-0.2717,0.2717,弱相关,负相关
avg_temperature,influenza_outbreak_count,88,-0.2696,0.2696,弱相关,负相关
avg_humidity,resp_hospital_sari_mycoplasma_positive_rate,48,0.2586,0.2586,弱相关,正相关
wind_speed,resp_hospital_sari_rsv_positive_rate,48,0.2474,0.2474,弱相关,正相关
wind_speed,resp_outpatient_ili_rsv_positive_rate,48,0.2379,0.2379,弱相关,正相关
avg_humidity,resp_hospital_sari_common_coronavirus_positive_rate,48,0.2352,0.2352,弱相关,正相关
precipitation_total,resp_hospital_sari_bocavirus_positive_rate,48,0.2268,0.2268,弱相关,正相关
avg_temperature,resp_hospital_sari_bocavirus_positive_rate,48,0.2211,0.2211,弱相关,正相关
avg_humidity,resp_outpatient_ili_rsv_positive_rate,48,0.2193,0.2193,弱相关,正相关
avg_temperature,resp_hospital_sari_rhinovirus_positive_rate,48,-0.2077,0.2077,弱相关,负相关
wind_speed,resp_outpatient_ili_adenovirus_positive_rate,48,-0.2011,0.2011,弱相关,负相关
avg_humidity,resp_hospital_sari_rsv_positive_rate,48,0.1738,0.1738,相关较弱,正相关
wind_speed,resp_hospital_sari_rhinovirus_positive_rate,48,0.1728,0.1728,相关较弱,正相关
avg_temperature,resp_hospital_sari_hmpv_positive_rate,48,0.1579,0.1579,相关较弱,正相关
precipitation_total,resp_hospital_sari_adenovirus_positive_rate,48,0.148,0.148,相关较弱,正相关
avg_temperature,resp_outpatient_ili_parainfluenza_positive_rate,48,0.1467,0.1467,相关较弱,正相关
precipitation_total,resp_outpatient_ili_parainfluenza_positive_rate,48,0.1439,0.1439,相关较弱,正相关
wind_speed,resp_outpatient_ili_hmpv_positive_rate,48,0.1343,0.1343,相关较弱,正相关
avg_temperature,resp_outpatient_ili_hmpv_positive_rate,48,0.1297,0.1297,相关较弱,正相关
avg_temperature,resp_hospital_sari_adenovirus_positive_rate,48,0.1078,0.1078,相关较弱,正相关
avg_humidity,influenza_ili_percent_north,124,-0.1077,0.1077,相关较弱,负相关
avg_temperature,resp_outpatient_ili_rhinovirus_positive_rate,48,0.1067,0.1067,相关较弱,正相关
avg_temperature,resp_hospital_sari_common_coronavirus_positive_rate,48,0.1063,0.1063,相关较弱,正相关
wind_speed,resp_hospital_sari_adenovirus_positive_rate,48,-0.091,0.091,相关较弱,负相关
avg_humidity,resp_outpatient_ili_rhinovirus_positive_rate,48,0.0848,0.0848,相关较弱,正相关
avg_humidity,resp_hospital_sari_rhinovirus_positive_rate,48,-0.0844,0.0844,相关较弱,负相关
precipitation_total,resp_hospital_sari_common_coronavirus_positive_rate,48,0.0839,0.0839,相关较弱,正相关
avg_humidity,influenza_ili_percent_south,111,-0.0804,0.0804,相关较弱,负相关
wind_speed,influenza_ili_percent_south,111,0.0777,0.0777,相关较弱,正相关
wind_speed,influenza_ili_percent_north,124,0.0615,0.0615,相关较弱,正相关
avg_temperature,resp_hospital_sari_parainfluenza_positive_rate,48,0.057,0.057,相关较弱,正相关
precipitation_total,resp_hospital_sari_parainfluenza_positive_rate,48,0.0473,0.0473,相关较弱,正相关
wind_speed,influenza_outbreak_count,88,0.044,0.044,相关较弱,正相关
precipitation_total,resp_outpatient_ili_hmpv_positive_rate,48,0.0404,0.0404,相关较弱,正相关
precipitation_total,resp_hospital_sari_hmpv_positive_rate,48,0.0341,0.0341,相关较弱,正相关
avg_humidity,resp_outpatient_ili_adenovirus_positive_rate,48,0.0331,0.0331,相关较弱,正相关
avg_humidity,influenza_outbreak_count,88,-0.031,0.031,相关较弱,负相关
wind_speed,resp_hospital_sari_hmpv_positive_rate,48,0.0245,0.0245,相关较弱,正相关
avg_humidity,resp_hospital_sari_adenovirus_positive_rate,48,0.0221,0.0221,相关较弱,正相关
precipitation_total,resp_outpatient_ili_rhinovirus_positive_rate,48,0.0211,0.0211,相关较弱,正相关
wind_speed,resp_outpatient_ili_rhinovirus_positive_rate,48,0.0142,0.0142,相关较弱,正相关
