table_name,field_name,data_type,unit,missing_value_strategy,source_field,description
weather_daily_clean.csv,longitude,float,度,保留为空并回查城市配置,longitude,城市经度。
weather_daily_clean.csv,avg_temperature,float,摄氏度,API 缺测时保留为空,avg_temperature,日平均气温。
weather_daily_clean.csv,max_temperature,float,摄氏度,API 缺测时保留为空,max_temperature,日最高气温。
weather_daily_clean.csv,min_temperature,float,摄氏度,API 缺测时保留为空,min_temperature,日最低气温。
weather_daily_clean.csv,avg_humidity,float,%,API 缺测时保留为空,avg_humidity,日平均相对湿度。
weather_daily_clean.csv,precipitation,float,毫米,API 缺测时保留为空,precipitation,日降水量。
weather_daily_clean.csv,wind_speed,float,米/秒,API 缺测时保留为空,wind_speed,日平均风速。
weather_daily_clean.csv,crawl_time,datetime,-,保留为空并回查运行日志,crawl_time,采集或解析时间。
weather_daily_clean.csv,raw_file,string,-,保留为空并回查缓存目录,raw_file,原始 JSON 缓存文件路径。
weather_weekly.csv,region,string,-,继承周度气象表,region,省级行政区名称。
province_weekly_features.csv,region,string,-,继承周度气象表,region,省级行政区名称。
weather_weekly.csv,city,string,-,继承周度气象表,city,省会或首府城市名称。
province_weekly_features.csv,city,string,-,继承周度气象表,city,省会或首府城市名称。
weather_weekly.csv,report_year,integer,年,由日度气象日期派生,report_year,ISO 周所属年份。
province_weekly_features.csv,report_year,integer,年,由日度气象日期派生,report_year,ISO 周所属年份。
weather_weekly.csv,report_week,integer,周,由日度气象日期派生,report_week,ISO 周次。
province_weekly_features.csv,report_week,integer,周,由日度气象日期派生,report_week,ISO 周次。
weather_weekly.csv,year_week,string,-,由年份和周次派生,year_week,ISO 周标识。
province_weekly_features.csv,year_week,string,-,由年份和周次派生,year_week,ISO 周标识。
weather_weekly.csv,week_start,date,-,由日度气象日期派生,week_start,周起始日期。
province_weekly_features.csv,week_start,date,-,由日度气象日期派生,week_start,周起始日期。
weather_weekly.csv,week_end,date,-,由日度气象日期派生,week_end,周结束日期。
province_weekly_features.csv,week_end,date,-,由日度气象日期派生,week_end,周结束日期。
weather_weekly.csv,days_count,integer,天,聚合结果字段，原则上不可为空,observation_date,参与聚合的日数。
province_weekly_features.csv,days_count,integer,天,聚合结果字段，原则上不可为空,observation_date,参与聚合的日数。
weather_weekly.csv,avg_temperature,float,摄氏度,忽略空值后求平均,avg_temperature,周平均气温。
province_weekly_features.csv,avg_temperature,float,摄氏度,忽略空值后求平均,avg_temperature,周平均气温。
weather_weekly.csv,max_temperature,float,摄氏度,忽略空值后求平均,max_temperature,周平均最高气温。
province_weekly_features.csv,max_temperature,float,摄氏度,忽略空值后求平均,max_temperature,周平均最高气温。
weather_weekly.csv,min_temperature,float,摄氏度,忽略空值后求平均,min_temperature,周平均最低气温。
province_weekly_features.csv,min_temperature,float,摄氏度,忽略空值后求平均,min_temperature,周平均最低气温。
weather_weekly.csv,avg_humidity,float,%,忽略空值后求平均,avg_humidity,周平均相对湿度。
province_weekly_features.csv,avg_humidity,float,%,忽略空值后求平均,avg_humidity,周平均相对湿度。
weather_weekly.csv,precipitation_total,float,毫米,忽略空值后求和,precipitation,周累计降水量。
province_weekly_features.csv,precipitation_total,float,毫米,忽略空值后求和,precipitation,周累计降水量。
weather_weekly.csv,wind_speed,float,米/秒,忽略空值后求平均,wind_speed,周平均风速。
province_weekly_features.csv,wind_speed,float,米/秒,忽略空值后求平均,wind_speed,周平均风速。
weather_monthly.csv,region,string,-,继承日度气象表,region,省级行政区名称。
weather_monthly.csv,city,string,-,继承日度气象表,city,省会或首府城市名称。
weather_monthly.csv,period_month,string,-,由观测日期派生,period_month,观测月份，格式为 YYYY-MM。
weather_monthly.csv,days_count,integer,天,聚合结果字段，原则上不可为空,observation_date,参与聚合的日数。
weather_monthly.csv,avg_temperature,float,摄氏度,忽略空值后求平均,avg_temperature,月平均气温。
weather_monthly.csv,max_temperature,float,摄氏度,忽略空值后求平均,max_temperature,月平均最高气温。
weather_monthly.csv,min_temperature,float,摄氏度,忽略空值后求平均,min_temperature,月平均最低气温。
weather_monthly.csv,avg_humidity,float,%,忽略空值后求平均,avg_humidity,月平均相对湿度。
weather_monthly.csv,precipitation_total,float,毫米,忽略空值后求和,precipitation,月累计降水量。
weather_monthly.csv,wind_speed,float,米/秒,忽略空值后求平均,wind_speed,月平均风速。
province_weekly_features.csv,resp_outpatient_ili_covid_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_outpatient_ili_influenza_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_outpatient_ili_rsv_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_outpatient_ili_mycoplasma_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_outpatient_ili_adenovirus_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_outpatient_ili_hmpv_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_outpatient_ili_parainfluenza_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_outpatient_ili_common_coronavirus_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_outpatient_ili_bocavirus_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_outpatient_ili_rhinovirus_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_hospital_sari_covid_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_hospital_sari_influenza_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_hospital_sari_rsv_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_hospital_sari_mycoplasma_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_hospital_sari_adenovirus_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_hospital_sari_hmpv_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_hospital_sari_parainfluenza_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_hospital_sari_common_coronavirus_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_hospital_sari_bocavirus_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,resp_hospital_sari_rhinovirus_positive_rate,float,%,该周未采集到对应指标时保留为空,respiratory_weekly_clean.positive_rate,全国急性呼吸道哨点监测病原体阳性率特征。
province_weekly_features.csv,influenza_ili_percent_north,float,%,该周未采集到对应指标时保留为空,influenza_weekly_clean.metric_percent,北方省份流感样病例百分比。
province_weekly_features.csv,influenza_ili_percent_south,float,%,该周未采集到对应指标时保留为空,influenza_weekly_clean.metric_percent,南方省份流感样病例百分比。
province_weekly_features.csv,influenza_outbreak_count,integer,起,该周未采集到对应指标时保留为空,influenza_weekly_clean.outbreak_count,全国流感样病例暴发疫情数。
province_weekly_features.csv,influenza_dominant_subtype,string,-,该周未采集到对应指标时保留为空,influenza_weekly_clean.dominant_subtype,流感周报摘要中提取的优势毒株或主要型别。
